,Name,Email,Address,reaction,Datetime,Sentiment,Score,Content,Category,Device,Duration,state
62,Micheal Vargas,MV@gmail.com,"9099 Katie Burgs Apt. 064
Robertsport, NH 98023",heart,2020-12-25 0:09,positive,60,photo,healthy eating,Huawei,33,NH
63,Garrett Lewis,GL@gmail.com,"92743 Colleen Isle Apt. 112
Nicholsview, NJ 76127",like,2021-06-14 7:56,positive,50,photo,healthy eating,Motorola,13,NJ
64,Mary Cox,MC@gmail.com,"0535 Tucker Freeway
Danielview, OR 46067",hate,2020-11-18 23:37,negative,5,photo,healthy eating,Huawei,91,OR
65,Diane Martinez,DM@gmail.com,"939 Lucas Junctions
Millsberg, SC 79696",interested,2021-05-09 2:42,positive,30,photo,healthy eating,HTC,96,SC
66,Henry Landis,HL@gmail.com,"458 Fox Road
Marcville, AR 57856",dislike,2021-05-11 8:38,negative,10,photo,healthy eating,Samsung,90,AR
67,Mary Carlin,MC@gmail.com,"858 Wilson Throughway
Lake Craigburgh, CA 21543",peeking,2020-11-12 8:00,neutral,35,photo,healthy eating,Google,19,CA
68,Michael Deltoro,MD@gmail.com,"246 Joanna Fall
Holmesfort, SD 71673",heart,2020-06-21 16:57,positive,60,photo,healthy eating,Motorola,56,SD
69,Jerry Ashe,JA@gmail.com,"8363 Mary Route
Michaelport, UT 03644",super love,2021-03-04 23:58,positive,75,photo,healthy eating,Huawei,33,UT
70,David Watkins,DW@gmail.com,"118 Rodney Pine Suite 445
Port Jeffrey, MS 16199",want,2020-07-09 16:47,positive,70,photo,healthy eating,Apple,67,MS
71,Michelle Limerick,ML@gmail.com,"3817 Brittany Knoll Suite 377
Danieltown, NY 07981",hate,2020-08-01 19:16,negative,5,photo,healthy eating,Google,95,NY
72,Russell Morris,RM@gmail.com,"6819 Jeffrey Green Suite 499
Robertport, IN 32685",dislike,2020-11-23 22:46,negative,10,photo,healthy eating,HTC,34,IN
73,Jeanie Kirn,JK@gmail.com,"644 Emily Burgs
South Paulstad, TX 93774",dislike,2021-04-23 23:41,negative,10,photo,healthy eating,Motorola,40,TX
74,Donna Valdovinos,DV@gmail.com,"0090 Adams Viaduct
New Benjamin, VT 75869",want,2020-11-13 0:33,positive,70,photo,healthy eating,HTC,19,VT
75,Terry Huang,TH@gmail.com,"3475 Monique Station
East Jacobborough, VA 02578",interested,2021-06-09 10:13,positive,30,photo,healthy eating,Microsoft,32,VA
76,Pamela Jones,PJ@gmail.com,"285 Robertson Trail Apt. 317
Lindastad, VT 81128",love,2020-10-29 19:41,positive,65,photo,healthy eating,Apple,63,VT
77,Kristina Pruett,KP@gmail.com,"083 Chan Trace
Port Michaelton, NC 80868",heart,2021-05-14 12:47,positive,60,photo,healthy eating,Motorola,76,NC
78,Anne Davies,AD@gmail.com,"927 Sanders Port
Owensville, AL 42282",disgust,2020-08-04 5:40,negative,0,photo,healthy eating,Apple,87,AL
79,Katherine Riffle,KR@gmail.com,"305 Gutierrez Forks
Mayborough, FL 20709",adore,2020-08-07 4:09,positive,72,photo,healthy eating,Motorola,88,FL
80,Johnny Dekle,JD@gmail.com,"360 Nathan Oval
South Jonathon, MT 55707",adore,2020-10-23 21:19,positive,72,photo,healthy eating,Apple,93,MT
81,Michael Eudy,ME@gmail.com,"870 Catherine Crescent
Jesusland, ID 53207",adore,2020-11-14 23:53,positive,72,photo,healthy eating,Microsoft,54,ID
82,Daniel Gray,DG@gmail.com,"9439 Jeffrey Alley Suite 593
Lake Kristen, AZ 73247",interested,2020-11-12 4:54,positive,30,photo,healthy eating,Google,68,AZ
83,Robert Holt,RH@gmail.com,"0702 Jones Village Suite 219
South Rhondabury, WA 14290",worried,2021-04-03 12:17,negative,12,photo,technology,Huawei,18,WA
84,Lydia Page,LP@gmail.com,"274 Deleon Estates
Lake Jennifer, TX 07214",want,2020-09-27 22:15,positive,70,photo,technology,Huawei,59,TX
85,Amy Fernandez,AFiobiqzxrfh,"8688 Austin Fork Suite 912
East Brittanyville, WV 82339",heart,2020-10-27 5:45,positive,60,photo,technology,Motorola,44,WV
86,Kristi Mccarthy,KM@gmail.com,"5687 Wilson Harbors Suite 763
Lake Robert, FL 22223",scared,2020-10-15 9:11,negative,15,photo,technology,Motorola,68,FL
87,Antonia Witt,AW@gmail.com,"7813 David Lights
Riceton, MI 36593",heart,2021-05-07 9:16,positive,60,photo,technology,Microsoft,82,MI
88,Rebecca Morrison,RMnemqyjpmju,"000 Melissa Fields
Michelleview, AR 95265",hate,2020-09-16 8:39,negative,5,photo,technology,Motorola,53,AR
89,Robert Sommer,RS@gmail.com,"8748 Lewis Via Suite 013
Robertfort, TN 84094",indifferent,2020-10-29 15:38,neutral,20,photo,technology,Motorola,21,TN
90,David Pujols,DP@gmail.com,"282 David Cliffs
Lake Savannah, WA 21990",scared,2021-05-24 18:03,negative,15,video,food,Huawei,56,WA
91,Michael Greene,MG@gmail.com,"00059 Christina Tunnel
Blakefort, VA 87906",interested,2021-02-25 20:02,positive,30,GIF,cooking,Motorola,19,VA
92,John Baker,JB@gmail.com,"9062 Janice Fords Suite 579
Taraside, MT 20707",hate,2021-05-02 3:45,negative,5,GIF,cooking,Google,93,MT
93,Benjamin Peltier,BP@gmail.com,"25502 Amy Square Apt. 092
Thompsonville, NM 47897",want,2021-01-28 8:49,positive,70,GIF,cooking,HTC,27,NM
94,Lance Spencer,LSdtqsemuido,"7406 Ray Ports
East Adamview, CA 79808",peeking,2021-02-15 13:06,neutral,35,GIF,cooking,Google,63,CA
95,James Bakerville,JB@gmail.com,"573 Laura Fords
New Joshuastad, AL 08063",dislike,2020-11-04 21:25,negative,10,GIF,cooking,Samsung,30,AL
96,Michael Fernandez,MF@gmail.com,"411 Santana Center Apt. 401
Port Rodney, LA 14985",love,2020-06-23 22:12,positive,65,GIF,cooking,Apple,49,LA
97,Leonard Lavigne,LL@gmail.com,"739 Charles Garden
Michellemouth, KS 19336",cherish,2021-02-16 4:01,positive,70,GIF,cooking,Google,17,KS
98,Robert Bijou,RB@gmail.com,"8534 Haynes Union
South Jason, TX 26599",interested,2021-01-03 8:44,positive,30,GIF,cooking,Unknown,4,TX
99,Susan Homes,SHjcmuixgwni,"7536 Thompson Road Suite 148
West Bobby, MN 75941",adore,2020-11-25 12:45,positive,72,GIF,cooking,Samsung,30,MN
100,James Phillips,JP@gmail.com,"8389 Torres Street
South Maria, AL 04577",like,2021-05-22 21:03,positive,50,GIF,cooking,Microsoft,3,AL
101,Henry Mester,HM@gmail.com,"45078 Darrell Prairie
Lake Amanda, MT 73755",cherish,2021-01-18 13:39,positive,70,GIF,cooking,Apple,34,MT
102,Deborah Jackson,DJ@gmail.com,"PSC 4430, Box 8569
APO AP 15240",indifferent,2021-01-06 0:35,neutral,20,GIF,cooking,HTC,21,AP
103,Dennis Salazar,DS@gmail.com,"39526 Perry Courts
Lake Christopherside, WA 40989",adore,2021-05-14 14:33,positive,72,GIF,cooking,Samsung,49,WA
104,Garrett Lewis,GL@gmail.com,"92743 Colleen Isle Apt. 112
Nicholsview, NJ 76127",worried,2021-05-27 15:21,negative,12,GIF,cooking,Motorola,13,NJ
105,Ernestine Tart,ET@gmail.com,"949 Denise Pass Suite 513
North Michael, NV 43667",peeking,2020-07-21 2:12,neutral,35,GIF,cooking,Google,88,NV
106,Mark Henderson,MH@gmail.com,"7091 Lara Causeway Suite 453
New Lauren, RI 21033",dislike,2021-05-26 6:09,negative,10,GIF,cooking,Microsoft,48,RI
107,Johnny Dekle,JD@gmail.com,"360 Nathan Oval
South Jonathon, MT 55707",dislike,2021-02-25 3:16,negative,10,GIF,cooking,Apple,93,MT
108,Julia Rivera,JR@gmail.com,"371 Crawford Cliffs
Welchmouth, LA 19265",intrigued,2020-12-07 22:50,positive,45,GIF,cooking,HTC,78,LA
109,Antonia Pereira,AP@gmail.com,"63138 Karen Lane Suite 493
New Karenborough, KY 56742",peeking,2020-09-01 21:18,neutral,35,GIF,cooking,Microsoft,7,KY
110,Douglas Jones,DJ@gmail.com,"Unit 8764 Box 5726
DPO AE 56727",adore,2021-05-10 22:07,positive,72,GIF,cooking,Huawei,20,DP
111,Rebecca Morrison,RMnemqyjpmju,"000 Melissa Fields
Michelleview, AR 95265",cherish,2021-02-12 16:37,positive,70,video,dogs,Motorola,53,AR
112,Antonia Witt,AW@gmail.com,"7813 David Lights
Riceton, MI 36593",heart,2021-04-28 15:22,positive,60,video,dogs,Microsoft,82,MI
113,Wanda Gross,WG@gmail.com,"09740 Jackson Park Apt. 253
Wilsonburgh, CA 24477",intrigued,2021-01-24 0:38,positive,45,video,dogs,Google,86,CA
114,Mark Henderson,MH@gmail.com,"7091 Lara Causeway Suite 453
New Lauren, RI 21033",worried,2021-03-18 1:53,negative,12,video,dogs,Microsoft,48,RI
115,Henry Mester,HM@gmail.com,"45078 Darrell Prairie
Lake Amanda, MT 73755",disgust,2021-01-14 7:21,negative,0,video,dogs,Apple,34,MT
116,Joyce Sanders,JS@gmail.com,"308 Joanna Fort
South Nicholasfort, AZ 95072",heart,2020-12-23 4:11,positive,60,video,dogs,Samsung,2,AZ
117,Mari Gonzalez,MG@gmail.com,"210 Jessica Falls Apt. 733
Josephton, DC 18690",hate,2021-05-21 7:23,negative,5,video,dogs,Huawei,41,DC
118,Maxine Wilson,MW@gmail.com,"00530 Harvey Trace Suite 135
Youngborough, NM 49274",like,2021-03-28 23:25,positive,50,video,dogs,Huawei,9,NM
119,Gregory Rosales,GR@gmail.com,"0065 Conner Falls Apt. 432
Billyton, MD 48708",peeking,2020-09-16 7:33,neutral,35,video,dogs,Google,81,MD
120,Dinah Kelly,DK@gmail.com,"Unit 4550 Box 8148
DPO AP 47371",heart,2021-03-06 5:23,positive,60,video,dogs,Huawei,4,DP
121,James Moore,JM@gmail.com,"023 Joshua Mountains Apt. 952
Port Stephanie, NY 87638",disgust,2021-01-13 23:35,negative,0,video,dogs,Samsung,7,NY
122,Kera Delarosa,KD@gmail.com,"7465 Sanchez Rapids
Raymondfurt, MN 66351",want,2020-09-06 22:35,positive,70,video,dogs,Apple,77,MN
123,Paul Wiese,PW@gmail.com,"226 Kristine Glen
Gibbsshire, SD 36642",interested,2020-06-24 9:31,positive,30,video,dogs,Motorola,71,SD
124,William Taylor,WT@gmail.com,"9842 Elizabeth Curve
Richton, ND 81103",hate,2021-02-07 21:39,negative,5,video,dogs,Apple,80,ND
125,Lloyd Golden,LG@gmail.com,"9881 Evans Mission Suite 442
Garyshire, WA 20202",intrigued,2021-01-21 18:28,positive,45,video,dogs,Huawei,50,WA
126,Lisa Kreiter,LK@gmail.com,"658 Mcguire Forges Apt. 563
East Heatherburgh, WI 31780",dislike,2021-02-27 0:21,negative,10,video,dogs,Google,77,WI
127,William Lewis,WL@gmail.com,"71357 Jonathan Via
Garymouth, MN 09490",worried,2020-08-22 12:06,negative,12,video,dogs,Motorola,98,MN
128,Laura Walker,LWsvedxnkdfr,"4030 Parker Alley Suite 043
Port Scott, CA 77383",cherish,2020-08-03 6:29,positive,70,video,dogs,Apple,72,CA
129,Johnny Dekle,JD@gmail.com,"360 Nathan Oval
South Jonathon, MT 55707",want,2021-06-04 4:57,positive,70,video,dogs,Apple,93,MT
130,Rebecca Swanner,RS@gmail.com,"663 Golden Loaf
Heidistad, CO 16965",super love,2020-10-21 9:07,positive,75,video,dogs,Microsoft,3,CO
131,Bessie Mcintyre,BM@gmail.com,"48590 Cooper Stream Suite 889
South Sean, NC 71373",dislike,2020-12-26 19:46,negative,10,video,dogs,Samsung,90,NC
132,Dale Ordman,DO@gmail.com,"242 Robinson Fields Suite 501
Goodstad, OH 93845",scared,2021-03-02 22:47,negative,15,video,dogs,HTC,72,OH
133,Stanley Gough,SG@gmail.com,"5595 Acevedo Lodge
Markmouth, NJ 03458",indifferent,2021-03-31 9:48,neutral,20,video,dogs,Google,60,NJ
134,Lisa Kemp,LK@gmail.com,"974 Oliver Mountain
North Richardport, UT 44941",interested,2021-06-14 13:44,positive,30,video,dogs,Microsoft,26,UT
135,Dayna Walton,DW@gmail.com,"1794 Robertson Loaf Suite 046
New Craigshire, GA 17333",scared,2020-12-27 17:04,negative,15,video,dogs,Motorola,35,GA
136,Cherie Scheuer,CS@gmail.com,"40960 Shaffer Extensions Suite 928
Perezberg, MD 28093",scared,2021-02-11 3:51,negative,15,video,dogs,Samsung,4,MD
137,Matthew Henning,MH@gmail.com,"83443 Briana Crossing
Haleyland, MT 05041",interested,2020-12-07 19:07,positive,30,video,dogs,Huawei,30,MT
138,Dinah Kelly,DK@gmail.com,"Unit 4550 Box 8148
DPO AP 47371",interested,2020-10-26 5:27,positive,30,video,dogs,Huawei,4,DP
139,Jose Hughes,JH@gmail.com,"PSC 7480, Box 4771
APO AE 82831",worried,2020-09-26 18:43,negative,12,video,dogs,Apple,23,AP
140,Eli Anderson,EA@gmail.com,"5880 Julie Road
West Holly, AZ 85825",scared,2020-11-25 13:01,negative,15,video,dogs,Samsung,24,AZ
141,Justin Tam,JT@gmail.com,"509 Haynes Road Suite 508
Farleyshire, OK 21475",heart,2020-07-11 5:51,positive,60,video,dogs,Google,34,OK
142,James Bradley,JB@gmail.com,"85242 Elizabeth Bridge Apt. 195
Espinozaville, DC 50054",heart,2021-03-19 16:23,positive,60,video,dogs,Samsung,16,DC
143,Michael Bowman,MB@gmail.com,"2856 Miller Path
Vickifurt, ID 57842",interested,2020-10-11 18:31,positive,30,video,dogs,Microsoft,19,ID
144,Lloyd Golden,LG@gmail.com,"9881 Evans Mission Suite 442
Garyshire, WA 20202",heart,2020-11-02 20:15,positive,60,video,dogs,Huawei,50,WA
145,Eloise Curry,EC@gmail.com,"24127 Weaver Pines Apt. 640
New Moniqueville, CA 58927",want,2020-10-01 3:35,positive,70,video,dogs,Apple,26,CA
146,Walter Lund,WL@gmail.com,"31352 Alan Vista
New Amyshire, ND 40158",disgust,2021-02-11 20:10,negative,0,video,dogs,Microsoft,92,ND
147,William Shatley,WS@gmail.com,"Unit 8924 Box 8191
DPO AP 75694",hate,2020-10-17 11:46,negative,5,video,dogs,Samsung,7,DP
148,Robert Holt,RH@gmail.com,"0702 Jones Village Suite 219
South Rhondabury, WA 14290",like,2020-08-09 19:41,positive,50,video,dogs,Huawei,18,WA
149,John Emery,JE@gmail.com,"6209 Ashley Ridge Apt. 844
West Guy, SD 42327",love,2021-02-01 2:40,positive,65,video,dogs,Apple,52,SD
150,Linda Weissgerber,LW@gmail.com,"Unit 1015 Box 5864
DPO AA 10815",adore,2021-01-30 9:36,positive,72,video,dogs,HTC,57,DP
151,Lawrence Hall,LH@gmail.com,"755 John Wells
Lake Kimberly, AL 50065",want,2021-03-31 15:24,positive,70,video,technology,Motorola,62,AL
152,Daniel Beede,DB@gmail.com,"8639 Gary Springs
Ronaldview, HI 08179",super love,2021-02-05 17:00,positive,75,video,technology,Google,18,HI
153,Norma George,NG@gmail.com,"76066 Darren Village
Port Tammie, MI 63748",heart,2021-02-19 16:29,positive,60,video,technology,HTC,58,MI
154,Elaine Brown,EB@gmail.com,"87776 Rachel Plains Suite 992
Port Williamville, OH 33676",worried,2020-07-25 0:00,negative,12,video,technology,Unknown,73,OH
155,Harold Holbert,HH@gmail.com,"54378 Ariana Union Suite 900
Port Bobbyberg, MI 56741",adore,2020-07-13 2:38,positive,72,photo,soccer,Microsoft,57,MI
156,Shela Phifer,SP@gmail.com,"2589 Lee Mission Apt. 819
Port Jamesborough, ME 21958",indifferent,2021-01-13 13:11,neutral,20,photo,soccer,Apple,58,ME
157,Jackie Jones,JJ@gmail.com,"7339 Harris Corner
Vincentfurt, LA 30436",worried,2021-01-02 16:46,negative,12,photo,soccer,Google,27,LA
158,Dwight Jefferson,DJ@gmail.com,"70091 Davis Spurs
New Georgeborough, TX 29949",intrigued,2020-11-26 2:25,positive,45,photo,soccer,Motorola,86,TX
159,Susan Hopp,SH@gmail.com,"Unit 2127 Box 7084
DPO AP 47768",want,2020-08-25 19:18,positive,70,photo,soccer,Motorola,91,DP
160,Marguerite Mccoy,MM@gmail.com,"60083 Bishop Garden
Robertstad, CA 11888",hate,2021-02-01 0:15,negative,5,photo,soccer,Google,88,CA
161,Mary Stassi,MS@gmail.com,"75924 Fowler Summit
Portermouth, NE 46119",love,2021-06-04 14:36,positive,65,photo,soccer,HTC,97,NE
162,Juanita Williams,JW@gmail.com,"48921 Elizabeth Locks Apt. 871
Lindaborough, MS 40378",adore,2020-08-19 13:38,positive,72,photo,soccer,Motorola,29,MS
163,Judy Cobbley,JC@gmail.com,"19989 Gina Burgs Suite 207
Johnsonmouth, NV 87900",cherish,2021-04-22 2:08,positive,70,photo,soccer,Samsung,44,NV
164,Oliver Kirby,OK@gmail.com,"49322 Valdez Creek
New Christineton, WI 36487",like,2020-08-15 18:16,positive,50,photo,soccer,Apple,69,WI
165,Evelina Pena,EP@gmail.com,"83885 Ferguson Overpass
New Ericville, CT 88461",love,2020-11-26 13:42,positive,65,photo,soccer,Samsung,27,CT
166,Jennifer Bjorkman,JB@gmail.com,"18111 Jones Spurs Suite 756
New Lauren, PA 29244",want,2021-04-14 0:56,positive,70,photo,public speaking,Apple,10,PA
167,Perry North,PN@gmail.com,"0719 Ronald Ports
Theresaland, IL 26004",indifferent,2020-07-21 21:27,neutral,20,photo,public speaking,HTC,15,IL
168,Kory Jacobs,KJ@gmail.com,"7034 Griffin Trail
West Rebeccaport, ND 25874",dislike,2021-03-29 6:57,negative,10,photo,public speaking,Motorola,88,ND
