MyUnknownColumn,Name,Address,Email,Content_ID,content_type,Category,Device,Duration,Datetime,reaction,Sentiment,Score
42,"Benjamin Baker","12492 Harris Underpass Apt. 319
Larryfurt, OH 30726",BB@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Huawei,73,"2020-07-14 5:28",interested,positive,30
43,"Brett Sandidge","61958 Courtney Branch
Sarastad, VT 69469",BS@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Google,59,"2020-08-23 10:30",indifferent,neutral,20
44,"Oscar Murphy","60738 Matthew Square
Lake Christine, HI 24434",OM@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,0,"2021-05-10 9:27",worried,negative,12
45,"Phillip Johnson","USS Dawson
FPO AA 46857",PJ@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Apple,8,"2021-03-15 3:59",hate,negative,5
47,"Edward Kettler","088 Smith Via Suite 090
Danielmouth, SC 45333",EK@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",HTC,83,"2020-06-25 17:01",dislike,negative,10
48,"Jose Suiter","41768 Hannah Canyon Apt. 170
North Ann, MN 10765",JS@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Samsung,1,"2020-09-13 0:11",intrigued,positive,45
49,"Megan Keck","3625 Rebecca Crescent
West Benjamin, CA 88681",MK@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Apple,57,"2020-08-20 18:17",peeking,neutral,35
50,"Racheal Hart","30254 Gregory Canyon Suite 734
West Sarah, MT 91811",RH@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Microsoft,96,"2021-02-11 4:53",scared,negative,15
51,"Brian Collins","9200 Gamble Brooks
Davidberg, WI 96602",BC@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Google,11,"2021-03-08 10:40",hate,negative,5
52,"James Phillips","8389 Torres Street
South Maria, AL 04577",JP@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Microsoft,3,"2021-03-28 21:15",disgust,negative,0
53,"Mari Gonzalez","210 Jessica Falls Apt. 733
Josephton, DC 18690",MG@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Huawei,41,"2021-05-25 1:00",hate,negative,5
54,"Benjamin Baker","12492 Harris Underpass Apt. 319
Larryfurt, OH 30726",BB@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Huawei,73,"2021-03-15 12:17",like,positive,50
55,"Benjamin Leon","610 Austin Avenue
Pricefurt, WV 16492",BL@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Microsoft,5,"2021-05-05 16:26",love,positive,65
57,"Bessie Mcintyre","48590 Cooper Stream Suite 889
South Sean, NC 71373",BM@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Samsung,90,"2021-06-16 3:02",heart,positive,60
58,"Angela Ivie","668 Collins Drive
Aprilfort, ND 24342",AI@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Motorola,16,"2020-07-07 10:52",indifferent,neutral,20
59,"Patrick Dahlman","290 Yates Loaf
Melissaville, AL 10176",PD@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Motorola,3,"2020-08-20 7:59",peeking,neutral,35
60,"Walter Lund","31352 Alan Vista
New Amyshire, ND 40158",WL@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Microsoft,92,"2020-09-23 11:15",love,positive,65
61,"April Bitner","9413 Lawrence Terrace Apt. 564
Michaelview, KS 70932",AB@gmail.com,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,"healthy eating",Samsung,70,"2021-03-24 5:56",like,positive,50
63,"Eva Lollar","08487 Heather Villages
Roseberg, WV 43804",EL@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,97,"2020-12-07 19:13",hate,negative,5
64,"Christa Thomas","6967 Gonzalez Roads Suite 288
Lake Rose, DC 62330",CT@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,47,"2020-08-03 16:41","super love",positive,75
65,"Matthew Henning","83443 Briana Crossing
Haleyland, MT 05041",MH@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Huawei,30,"2021-01-10 15:36",adore,positive,72
66,"Gary Hill","6208 Wright Mountains
Bryantfurt, AR 02531",GHbnuothhymw,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Microsoft,11,"2020-09-20 8:48",scared,negative,15
67,"Michael Tuite","81554 Martin Isle Suite 028
Ballville, WA 57059",MT@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,81,"2020-07-20 14:06",cherish,positive,70
68,"Phillip Johnson","USS Dawson
FPO AA 46857",PJ@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Apple,8,"2020-10-24 12:15",adore,positive,72
69,"Ruth Palmer","854 Andrew Tunnel Apt. 147
North Steven, HI 03808",RPbrxoephmar,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",HTC,54,"2021-06-06 1:27",interested,positive,30
70,"Micheal Vargas","9099 Katie Burgs Apt. 064
Robertsport, NH 98023",MV@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Huawei,33,"2020-12-25 0:09",heart,positive,60
71,"Garrett Lewis","92743 Colleen Isle Apt. 112
Nicholsview, NJ 76127",GL@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,13,"2021-06-14 7:56",like,positive,50
73,"Mary Cox","0535 Tucker Freeway
Danielview, OR 46067",MC@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Huawei,91,"2020-11-18 23:37",hate,negative,5
74,"Diane Martinez","939 Lucas Junctions
Millsberg, SC 79696",DM@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",HTC,96,"2021-05-09 2:42",interested,positive,30
75,"Henry Landis","458 Fox Road
Marcville, AR 57856",HL@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Samsung,90,"2021-05-11 8:38",dislike,negative,10
76,"Mary Carlin","858 Wilson Throughway
Lake Craigburgh, CA 21543",MC@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Google,19,"2020-11-12 8:00",peeking,neutral,35
77,"Michael Deltoro","246 Joanna Fall
Holmesfort, SD 71673",MD@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,56,"2020-06-21 16:57",heart,positive,60
78,"Jerry Ashe","8363 Mary Route
Michaelport, UT 03644",JA@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Huawei,33,"2021-03-04 23:58","super love",positive,75
79,"David Watkins","118 Rodney Pine Suite 445
Port Jeffrey, MS 16199",DW@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Apple,67,"2020-07-09 16:47",want,positive,70
80,"Michelle Limerick","3817 Brittany Knoll Suite 377
Danieltown, NY 07981",ML@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Google,95,"2020-08-01 19:16",hate,negative,5
81,"Russell Morris","6819 Jeffrey Green Suite 499
Robertport, IN 32685",RM@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",HTC,34,"2020-11-23 22:46",dislike,negative,10
83,"Jeanie Kirn","644 Emily Burgs
South Paulstad, TX 93774",JK@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,40,"2021-04-23 23:41",dislike,negative,10
84,"Donna Valdovinos","0090 Adams Viaduct
New Benjamin, VT 75869",DV@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",HTC,19,"2020-11-13 0:33",want,positive,70
85,"Terry Huang","3475 Monique Station
East Jacobborough, VA 02578",TH@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Microsoft,32,"2021-06-09 10:13",interested,positive,30
86,"Pamela Jones","285 Robertson Trail Apt. 317
Lindastad, VT 81128",PJ@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Apple,63,"2020-10-29 19:41",love,positive,65
87,"Kristina Pruett","083 Chan Trace
Port Michaelton, NC 80868",KP@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,76,"2021-05-14 12:47",heart,positive,60
88,"Anne Davies","927 Sanders Port
Owensville, AL 42282",AD@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Apple,87,"2020-08-04 5:40",disgust,negative,0
89,"Katherine Riffle","305 Gutierrez Forks
Mayborough, FL 20709",KR@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Motorola,88,"2020-08-07 4:09",adore,positive,72
90,"Johnny Dekle","360 Nathan Oval
South Jonathon, MT 55707",JD@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Apple,93,"2020-10-23 21:19",adore,positive,72
91,"Michael Eudy","870 Catherine Crescent
Jesusland, ID 53207",ME@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Microsoft,54,"2020-11-14 23:53",adore,positive,72
93,"Daniel Gray","9439 Jeffrey Alley Suite 593
Lake Kristen, AZ 73247",DG@gmail.com,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,"healthy eating",Google,68,"2020-11-12 4:54",interested,positive,30
95,"Robert Holt","0702 Jones Village Suite 219
South Rhondabury, WA 14290",RH@gmail.com,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Huawei,18,"2021-04-03 12:17",worried,negative,12
96,"Lydia Page","274 Deleon Estates
Lake Jennifer, TX 07214",LP@gmail.com,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Huawei,59,"2020-09-27 22:15",want,positive,70
97,"Amy Fernandez","8688 Austin Fork Suite 912
East Brittanyville, WV 82339",AFiobiqzxrfh,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Motorola,44,"2020-10-27 5:45",heart,positive,60
98,"Kristi Mccarthy","5687 Wilson Harbors Suite 763
Lake Robert, FL 22223",KM@gmail.com,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Motorola,68,"2020-10-15 9:11",scared,negative,15
99,"Antonia Witt","7813 David Lights
Riceton, MI 36593",AW@gmail.com,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Microsoft,82,"2021-05-07 9:16",heart,positive,60
100,"Rebecca Morrison","000 Melissa Fields
Michelleview, AR 95265",RMnemqyjpmju,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Motorola,53,"2020-09-16 8:39",hate,negative,5
101,"Robert Sommer","8748 Lewis Via Suite 013
Robertfort, TN 84094",RS@gmail.com,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,Motorola,21,"2020-10-29 15:38",indifferent,neutral,20
103,"David Pujols","282 David Cliffs
Lake Savannah, WA 21990",DP@gmail.com,01ab84dd-6364-4236-abbb-3f237db77180,video,food,Huawei,56,"2021-05-24 18:03",scared,negative,15
105,"Michael Greene","00059 Christina Tunnel
Blakefort, VA 87906",MG@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Motorola,19,"2021-02-25 20:02",interested,positive,30
106,"John Baker","9062 Janice Fords Suite 579
Taraside, MT 20707",JB@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Google,93,"2021-05-02 3:45",hate,negative,5
107,"Benjamin Peltier","25502 Amy Square Apt. 092
Thompsonville, NM 47897",BP@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,HTC,27,"2021-01-28 8:49",want,positive,70
108,"Lance Spencer","7406 Ray Ports
East Adamview, CA 79808",LSdtqsemuido,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Google,63,"2021-02-15 13:06",peeking,neutral,35
109,"James Bakerville","573 Laura Fords
New Joshuastad, AL 08063",JB@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Samsung,30,"2020-11-04 21:25",dislike,negative,10
110,"Michael Fernandez","411 Santana Center Apt. 401
Port Rodney, LA 14985",MF@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Apple,49,"2020-06-23 22:12",love,positive,65
111,"Leonard Lavigne","739 Charles Garden
Michellemouth, KS 19336",LL@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Google,17,"2021-02-16 4:01",cherish,positive,70
112,"Robert Bijou","8534 Haynes Union
South Jason, TX 26599",RB@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,thbhn,4,"2021-01-03 8:44",interested,positive,30
113,"Susan Homes","7536 Thompson Road Suite 148
West Bobby, MN 75941",SHjcmuixgwni,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Samsung,30,"2020-11-25 12:45",adore,positive,72
115,"James Phillips","8389 Torres Street
South Maria, AL 04577",JP@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Microsoft,3,"2021-05-22 21:03",like,positive,50
116,"Henry Mester","45078 Darrell Prairie
Lake Amanda, MT 73755",HM@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Apple,34,"2021-01-18 13:39",cherish,positive,70
117,"Deborah Jackson","PSC 4430, Box 8569
APO AP 15240",DJ@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,HTC,21,"2021-01-06 0:35",indifferent,neutral,20
118,"Dennis Salazar","39526 Perry Courts
Lake Christopherside, WA 40989",DS@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Samsung,49,"2021-05-14 14:33",adore,positive,72
119,"Garrett Lewis","92743 Colleen Isle Apt. 112
Nicholsview, NJ 76127",GL@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Motorola,13,"2021-05-27 15:21",worried,negative,12
120,"Ernestine Tart","949 Denise Pass Suite 513
North Michael, NV 43667",ET@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Google,88,"2020-07-21 2:12",peeking,neutral,35
121,"Mark Henderson","7091 Lara Causeway Suite 453
New Lauren, RI 21033",MH@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Microsoft,48,"2021-05-26 6:09",dislike,negative,10
122,"Johnny Dekle","360 Nathan Oval
South Jonathon, MT 55707",JD@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Apple,93,"2021-02-25 3:16",dislike,negative,10
123,"Julia Rivera","371 Crawford Cliffs
Welchmouth, LA 19265",JR@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,HTC,78,"2020-12-07 22:50",intrigued,positive,45
125,"Antonia Pereira","63138 Karen Lane Suite 493
New Karenborough, KY 56742",AP@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Microsoft,7,"2020-09-01 21:18",peeking,neutral,35
126,"Douglas Jones","Unit 8764 Box 5726
DPO AE 56727",DJ@gmail.com,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,Huawei,20,"2021-05-10 22:07",adore,positive,72
128,"Rebecca Morrison","000 Melissa Fields
Michelleview, AR 95265",RMnemqyjpmju,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Motorola,53,"2021-02-12 16:37",cherish,positive,70
129,"Antonia Witt","7813 David Lights
Riceton, MI 36593",AW@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Microsoft,82,"2021-04-28 15:22",heart,positive,60
130,"Wanda Gross","09740 Jackson Park Apt. 253
Wilsonburgh, CA 24477",WG@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Google,86,"2021-01-24 0:38",intrigued,positive,45
131,"Mark Henderson","7091 Lara Causeway Suite 453
New Lauren, RI 21033",MH@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Microsoft,48,"2021-03-18 1:53",worried,negative,12
132,"Henry Mester","45078 Darrell Prairie
Lake Amanda, MT 73755",HM@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Apple,34,"2021-01-14 7:21",disgust,negative,0
133,"Joyce Sanders","308 Joanna Fort
South Nicholasfort, AZ 95072",JS@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Samsung,2,"2020-12-23 4:11",heart,positive,60
134,"Mari Gonzalez","210 Jessica Falls Apt. 733
Josephton, DC 18690",MG@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Huawei,41,"2021-05-21 7:23",hate,negative,5
135,"Maxine Wilson","00530 Harvey Trace Suite 135
Youngborough, NM 49274",MW@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Huawei,9,"2021-03-28 23:25",like,positive,50
136,"Gregory Rosales","0065 Conner Falls Apt. 432
Billyton, MD 48708",GR@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Google,81,"2020-09-16 7:33",peeking,neutral,35
138,"Dinah Kelly","Unit 4550 Box 8148
DPO AP 47371",DK@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Huawei,4,"2021-03-06 5:23",heart,positive,60
139,"James Moore","023 Joshua Mountains Apt. 952
Port Stephanie, NY 87638",JM@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Samsung,7,"2021-01-13 23:35",disgust,negative,0
140,"Kera Delarosa","7465 Sanchez Rapids
Raymondfurt, MN 66351",KD@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Apple,77,"2020-09-06 22:35",want,positive,70
141,"Paul Wiese","226 Kristine Glen
Gibbsshire, SD 36642",PW@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Motorola,71,"2020-06-24 9:31",interested,positive,30
142,"William Taylor","9842 Elizabeth Curve
Richton, ND 81103",WT@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Apple,80,"2021-02-07 21:39",hate,negative,5
143,"Lloyd Golden","9881 Evans Mission Suite 442
Garyshire, WA 20202",LG@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Huawei,50,"2021-01-21 18:28",intrigued,positive,45
144,"Lisa Kreiter","658 Mcguire Forges Apt. 563
East Heatherburgh, WI 31780",LK@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Google,77,"2021-02-27 0:21",dislike,negative,10
145,"William Lewis","71357 Jonathan Via
Garymouth, MN 09490",WL@gmail.com,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,Motorola,98,"2020-08-22 12:06",worried,negative,12
